ID_ch_wc_cru;ID_iucn;species
221;566;Galago senegalensis
222;570;Galea spixii
223;577;Eudorcas rufifrons
224;578;Gazella bennettii
225;580;Gazella subgutturosa
226;596;Gerbillus nancillus
227;598;Gerbillus amoenus
228;602;Hyaena hyaena
229;606;Parahyaena brunnea
230;609;Gerbillus nanus
231;611;Giraffa camelopardalis
232;613;Gerbillus pusillus
233;614;Gerbillus pyramidum
234;615;Pteropus hypomelanus
235;618;Gerbillus tarabuli
236;620;Gulo gulo
237;621;Glironia venusta
238;623;Glossophaga soricina
239;625;Glischropus tylopus
240;627;Glossophaga commissarisi
241;628;Glossophaga leachii
242;631;Gorilla gorilla
243;633;Gracilinanus microtarsus
244;636;Hyladelphys kalinowskii
245;637;Gracilinanus agilis
246;644;Graomys griseoflavus
247;654;Hydrochoerus hydrochaeris
248;664;Hapalomys delacouri
249;667;Harpiocephalus harpia
250;676;Heimyscus fumosus
251;680;Herpailurus yagouaroundi
252;681;Hesperoptenus blanfordi
253;684;Hesperoptenus tickelli
254;686;Heterohyrax brucei
255;689;Hippocamelus antisensis
256;690;Hipposideros bicolor
257;691;Hippopotamus amphibius
258;693;Hipposideros abae
259;694;Hipposideros armiger
260;696;Hipposideros cervinus
261;697;Hipposideros beatus
262;699;Hipposideros caffer
263;702;Loxodonta africana
264;704;Hipposideros cineraceus
265;705;Hylopetes phayrei
266;706;Hipposideros commersoni
267;712;Hipposideros cyclops
268;714;Rattus tiomanicus
269;716;Ratufa affinis
270;717;Tadarida teniotis
271;719;Hipposideros dyacorum
272;721;Hipposideros fuliginosus
273;722;Hipposideros fulvus
274;723;Hipposideros galeritus
275;726;Hipposideros larvatus
276;727;Hipposideros doriae
277;730;Hipposideros jonesi
278;733;Hipposideros lankadiva
279;736;Hipposideros lylei
280;739;Micronycteris schmidtorum
281;741;Glyphonycteris sylvestris
282;744;Hipposideros ruber
283;747;Hipposideros megalotis
284;749;Hipposideros pomona
285;750;Kerivoula picta
286;751;Hipposideros pratti
287;755;Hipposideros speoris
288;756;Hipposideros stenotis
289;758;Macroglossus minimus
290;761;Hippotragus equinus
291;762;Hippotragus niger
292;767;Hydrurga leptonyx
293;768;Hyemoschus aquaticus
294;769;Hylobates agilis
295;771;Hylobates lar
296;774;Hylobates muelleri
297;775;Hylomyscus aeta
298;780;Hylopetes alboniger
299;781;Hylomyscus denniae
300;782;Hylomyscus stella
301;786;Hystrix cristata
302;793;Hystrix crassispinis
303;795;Hystrix sumatrae
304;796;Ia io
305;798;Idionycteris phyllotis
306;799;Idiurus macrotis
307;802;Inia geoffrensis
308;809;Kannabateomys amblyonyx
309;811;Macroglossus sobrinus
310;812;Kerivoula argentata
311;815;Kerivoula hardwickii
312;817;Kerivoula cuprosa
313;820;Kerivoula papillosa
314;821;Kobus kob
315;823;Macrotis lagotis
316;824;Kerivoula lanosa
317;827;Phoniscus papuensis
318;829;Kerivoula pellucida
319;830;Kerivoula phalaena
320;832;Kerivoula smithii
321;834;Lama guanicoe
322;835;Kerodon rupestris
323;839;Kobus ellipsiprymnus
324;843;Kunsia tomentosus
325;846;Laephotis wintoni
326;855;Lagidium viscacia
327;857;Lagorchestes conspicillatus
328;861;Lagostomus maximus
329;864;Lasiurus ega
330;866;Lasiurus seminolus
331;868;Lariscus insignis
332;869;Lasionycteris noctivagans
333;872;Lasiurus cinereus
334;874;Lasiurus borealis
335;875;Lavia frons
336;876;Leggadina lakedownensis
337;878;Lemmus lemmus
338;887;Leopardus pardalis
339;888;Leopardus wiedii
340;891;Leopoldamys sabanus
341;901;Lepus timidus
342;904;Leptonychotes weddellii
343;905;Leptonycteris nivalis
344;907;Lestodelphys halli
345;908;Lepus callotis
346;913;Lichonycteris obscura
347;917;Sundasciurus hippurus
348;919;Heteromys irroratus
349;920;Heteromys pictus
350;923;Lionycteris spurrelli
351;928;Litocranius walleri
352;930;Lonchophylla robusta
353;931;Lonchophylla thomasi
354;932;Lonchorhina aurita
355;935;Austronomus australis
356;936;Lobodon carcinophaga
357;938;Tadarida brasiliensis
358;942;Lontra canadensis
359;945;Lontra longicaudis
360;947;Lophiomys imhausi
361;948;Lophocebus albigena
362;949;Lophocebus aterrimus
363;951;Herpestes ochraceus
364;956;Herpestes sanguineus
365;961;Hydrictis maculicollis
366;962;Lutra sumatrana
367;963;Lynx canadensis
368;964;Lutra lutra
369;965;Lutrogale perspicillata
370;966;Lycaon pictus
371;967;Lynx lynx
372;968;Macaca fascicularis
373;970;Lynx rufus
374;971;Macaca arctoides
375;972;Macaca assamensis
376;977;Macaca mulatta
377;978;Macaca nemestrina
378;984;Macaca radiata
379;988;Macaca thibetana
380;992;Macroderma gigas
381;1000;Manis crassicaudata
382;1002;Macrotus californicus
383;1003;Macrotus waterhousii
384;1004;Macrophyllum macrophyllum
385;1014;Madoqua saltiana
386;1015;Madoqua guentheri
387;1016;Madoqua kirkii
388;1021;Smutsia gigantea
389;1022;Manis javanica
390;1023;Manis pentadactyla
391;1024;Smutsia temminckii
392;1025;Phataginus tetradactyla
393;1026;Phataginus tricuspis
394;1029;Marmosa lepida
395;1031;Marmosops incanus
396;1036;Marmosops parvidens
397;1037;Marmota caudata
398;1041;Marmota sibirica
399;1044;Martes martes
400;1045;Maxomys whiteheadi
401;1047;Massoutiera mzabi
402;1050;Maxomys rajah
403;1051;Mastomys coucha
404;1059;Maxomys surifer
405;1063;Megaderma lyra
406;1064;Megaderma spasma
407;1067;Megaerops niphanae
408;1071;Megaerops ecaudatus
409;1072;Megaptera novaeangliae
410;1093;Marmosa constantiae
411;1095;Melursus ursinus
412;1096;Microcavia australis
413;1098;Meriones crassus
414;1099;Meriones persicus
415;1105;Mesocricetus brandti
416;1108;Makalata didelphoides
417;1109;Mesomys hispidus
418;1111;Mesomys stimulax
419;1112;Mesophylla macconnelli
420;1123;Micropteropus pusillus
421;1127;Glyphonycteris behnii
422;1128;Lampronycteris brachyotis
423;1130;Glyphonycteris daviesi
424;1131;Micronycteris hirsuta
425;1132;Micronycteris megalotis
426;1133;Mops brachypterus
427;1134;Micronycteris minuta
428;1135;Trinycteris nicefori
429;1143;Microtus californicus
430;1144;Neodon juldaschi
431;1146;Microsciurus flaviventer
432;1148;Microtus ilaeus
433;1154;Microtus hyperboreus
434;1156;Neodon irene
435;1158;Phaiomys leucurus
436;1160;Miniopterus australis
437;1168;Microtus arvalis
438;1172;Microtus duodecimcostatus
439;1176;Mimetillus moloneyi
440;1177;Mimon bennettii
441;1178;Mimon crenulatum
442;1179;Miniopterus schreibersii
443;1180;Oligoryzomys nigripes
444;1181;Miniopterus fraterculus
445;1184;Miniopterus inflatus
446;1186;Miniopterus tristis
447;1188;Miniopterus medius
448;1189;Miniopterus pusillus
449;1192;Molossus coibensis
450;1193;Molossus molossus
451;1195;Phalanger gymnotis
452;1196;Miopithecus talapoin
453;1199;Mirounga leonina
454;1201;Cynomops abrasus
455;1202;Pipistrellus abramus
456;1204;Cynomops greenhalli
457;1205;Molossops mattogrossensis
458;1206;Molossops neglectus
459;1207;Cynomops planirostris
460;1208;Molossops temminckii
461;1209;Molossus rufus
462;1212;Molossus pretiosus
463;1213;Molossus sinaloae
464;1216;Monodelphis dimidiata
465;1217;Monodelphis emiliae
466;1218;Monodelphis iheringi
467;1219;Monodelphis kunsi
468;1222;Mops condylurus
469;1223;Mops congicus
470;1224;Mops thersites
471;1226;Mops demonstrator
472;1227;Mops midas
473;1228;Mops mops
474;1229;Mops nanulus
475;1231;Mops niveiventer
476;1232;Mormoops megalophylla
477;1233;Mormopterus beccarii
478;1236;Mops trevori
479;1241;Mosia nigrescens
480;1243;Moschus berezovskii
481;1249;Mormopterus planiceps
482;1250;Moschus chrysogaster
483;1256;Macaca leonina
484;1259;Mustela strigidorsa
485;1260;Mungos gambianus
486;1267;Murina suilla
487;1268;Murexia longicaudata
488;1271;Murina cyclotis
489;1275;Murina huttoni
490;1276;Murina leucogaster
491;1277;Myoprocta acouchy
492;1281;Murina tubinaris
493;1284;Myopterus daubentonii
494;1287;Mus haussa
495;1288;Myopterus whitleyi
496;1293;Mus platythrix
497;1294;Mus setulosus
498;1297;Micaelamys namaquensis
499;1299;Allactaga bullata
500;1300;Allactaga hotsoni
501;1301;Allactaga major
502;1302;Allactaga severtzovi
503;1303;Allactaga sibirica
504;1304;Apodemus agrarius
505;1306;Apodemus mystacinus
506;1307;Apodemus peninsulae
507;1308;Apodemus ponticus
508;1309;Apodemus sylvaticus
509;1310;Apodemus uralensis
510;1311;Apodemus pallipes
511;1327;Funisciurus lemniscatus
512;1328;Funisciurus pyrropus
513;1331;Gerbillurus paeba
514;1333;Gerbillus aquilus
515;1334;Gerbillus cheesmani
516;1336;Gerbillus dasyurus
517;1338;Gerbillus gerbillus
518;1340;Lemniscomys zebra
519;1342;Crocidura shantungensis
520;1346;Eligmodontia typus
521;1347;Petaurista xanthotis
522;1348;Petinomys genibarbis
523;1349;Petromyscus collinus
524;1352;Pseudomys delicatulus
525;1353;Pseudomys hermannsburgensis
526;1354;Pseudomys johnsoni
527;1355;Pseudomys nanus
528;1356;Pseudomys patrius
529;1358;Tragelaphus eurycerus
530;1359;Tragelaphus spekii
531;1360;Tragelaphus scriptus
532;1362;Tragelaphus imberbis
533;1363;Tragelaphus oryx
534;1364;Tscherskia triton
535;1365;Juliomys pictipes
536;1366;Xerus erythropus
537;1368;Hylaeamys megacephalus
538;1369;Euryoryzomys russatus
539;1372;Erinaceus europaeus
540;1373;Crocidura leucodon
541;1374;Crocidura russula
542;1375;Crocidura voi
543;1376;Crocidura whitakeri
544;1377;Sorex daphaenodon
545;1378;Sorex dispar
546;1379;Chodsigoa hypsibia
547;1380;Marmota flaviventris
548;1381;Marmota monax
549;1383;Neotamias dorsalis
550;1384;Neotamias minimus
551;1385;Sorex gracillimus
552;1386;Sorex haydeni
553;1387;Sorex hoyi
554;1388;Sorex longirostris
555;1389;Sorex merriami
556;1390;Sorex monticolus
557;1391;Sorex nanus
558;1393;Sorex palustris
559;1394;Chodsigoa parca
560;1397;Parascalops breweri
561;1398;Scalopus aquaticus
562;1399;Scapanulus oweni
563;1400;Scapanus latimanus
564;1401;Scapanus orarius
565;1402;Scaptochirus moschatus
566;1403;Tupaia gracilis
567;1404;Neotamias quadrivittatus
568;1407;Ursus arctos
569;1411;Rhipidomys macrurus
570;1412;Sigmodon hirsutus
571;1414;Hylaeamys perenensis
572;1418;Necromys benefactus
573;1420;Calomys expulsus
574;1424;Cynomys ludovicianus
575;1425;Dasymys incomtus
576;1427;Dasymys rufulus
577;1430;Lemmus trimucronatus
578;1432;Nannospalax ehrenbergi
579;1433;Nannospalax leucodon
580;1440;Neotoma lepida
581;1441;Neotoma mexicana
582;1442;Neotoma micropus
583;1443;Nesokia indica
584;1444;Niviventer confucianus
585;1445;Niviventer fulvescens
586;1447;Niviventer langbianis
587;1448;Oecomys roberti
588;1449;Oecomys rutilus
589;1450;Oecomys speciosus
590;1451;Oecomys superans
591;1452;Oenomys hypoxanthus
592;1454;Eutamias sibiricus
593;1455;Gerbilliscus leucogaster
594;1457;Gerbilliscus robustus
595;1458;Holochilus chacarius
596;1463;Hybomys trivirgatus
597;1464;Hybomys univittatus
598;1465;Hydromys chrysogaster
599;1468;Arvicanthis niloticus
600;1472;Akodon albiventer
601;1473;Akodon azarae
602;1474;Akodon cursor
603;1477;Akodon iniscatus
604;1479;Abrothrix longipilis
605;1481;Akodon molinae
606;1483;Aethomys nyikae
607;1484;Acomys wilsoni
608;1486;Acomys cahirinus
609;1487;Acomys cineraceus
610;1488;Acomys kempi
611;1489;Acomys louisae
