IUCN.binomial,AllGeogRange,Body.mass.g,LitSz,AdultHeadBodyLen.mm,GestLen.d,LitPerYear,SocGrpSz,WeanAge.d,SMA.d,NeonateBodyMass.g,MaxLifepsan.m,PopDen.n.km2,brain.mass.g,IBI.d
Dasymys_incomtus,7185409,127.75,2.67,164.0349887,30.20672768,3.377605848,1.275457596,30,72.41,6.328594,57.74801054,1718.4,1.536441116,52.30909489
Dasymys_montanus,12579,59,4.139243245,130.9394326,31.53038211,1.018079078,1,74.77978692,347.6602049,1.218556689,57.12212067,94.92175678,1.32750958,351.3286306
Dasymys_nudipes,669869,52.69919702,3.663072543,129.4761218,31.42247212,1.004062882,1.00695555,56.11480737,347.4425299,2.675365599,50.63955639,115.9284053,1.321746163,356.352372
Dasymys_rufulus,1160276,59,3.927252992,115.123823,25.8833793,3.049428884,1.030410558,27.50665163,86.15574402,3.270337621,44.15924153,293.2307574,0.996020945,45.11405034
Dasyprocta_azarae,1680118,2976.81,1.85137993,477.7025015,77.57087955,2.268596891,1.382248531,140,417.0392929,120.635539,141.6,14.03170531,16.83124812,170.0122368
Dasyprocta_cristata,438899,2650.03,2,486.1668647,84.19447657,1.81945853,1.566635625,140,552.9150566,91.41978615,168,13.2227447,16.73804546,199.7546935
Dasyprocta_fuliginosa,2654754,3500.02,2,532.1107539,111.9,3,2,140,362.3799731,129.0959658,216,13.35401285,19.33128116,120
Dasyprocta_guamara,1256,2650.03,1.546510955,449.4945119,66.61459073,2.166750656,1.313608546,140,498.1004883,80.8347788,129.1425271,21.71508267,15.42048415,182.7911822
Dasyprocta_kalinowskii,113043,2650.03,1.219236137,432.8078767,99.98779561,1.699390868,1.740813014,140,521.3108118,66.74081312,154.0976763,44.593785,15.85223279,214.3213944
Dasyprocta_leporina,5026242,3009.99,1.4,572.29,106.39,2,3,140,193,136.4203828,213.6,49.69,22.78,183
Dasyprocta_mexicana,64494,4999.99,1.19248953,551.3635409,112.576701,1.004846481,1.439619878,140,537.844258,135.1880285,157.2,26.4892402,28.34510029,359.6459342
Dasyprocta_prymnolopha,1888207,2900,1.5,500.166308,123.4185235,1.024085526,1.963974059,140,579.7788551,130.9653467,195.6,24.33826295,23.68377297,361.0853503
Dasyprocta_punctata,3415222,2309.12,1.25,437.7376127,107.65,2.87,2,140,487,22.7,120,17.44,18.34,127
Dasyprocta_variegata,3415222,2309.12,1.25,437.7376127,107.65,2.87,2,140,487,22.7,120,17.44,18.34,127
Dasypus_hybridus,3851479,1500,8.36,356.0712017,126.4,1.042847481,2.946918535,75.50239998,460.9915902,31.84754433,171.6618682,8.300433842,13.17459133,340.6426461
Dasypus_kappleri,6617931,9702.83,4.47,555.34,66.00747407,1.841455407,1,56.5228092,365.4010511,135.1098531,168.7804096,1.152095638,36.97266352,188.5877853
Dasypus_novemcinctus,17126666,3949.01,3.96,442.79,134,1,1,136.87,511.16,96.48,180,20.37,11.265,346.7188832
Dasypus_pilosus,32978,4444.98,1.226031139,505.913916,119.2582491,0.985048968,2.954806553,120.1158723,704.3236071,132.7937157,225.0067566,27.76660746,33.21727841,369.452195
Dasypus_sabanicola,438121,1150.01,4,316.8478102,91.24,1.04322753,2.117264067,60.25908031,451.7683953,15.06581168,144.0924269,280,7.423270167,349.7391291
Dasypus_septemcinctus,6616624,1526.64,5.99,381.5761005,120,1.009914259,2.963690397,73.46801939,569.4979059,39.70213154,201.6,10.57831877,16.82412864,367.4686135
Dasypus_yepesi,5721,63.79188595,2.489123412,119.9949843,31.62984538,2.222505104,1.030538569,24.75310525,128.432838,4.627690791,31.41667689,1430.096664,1.157587936,73.67688492
Dasyuroides_byrnei,75435,109.47,5.14,158.49,32.49,2,1,118.11,299.95,0.02,84,1.86,2.331542832,174.5
Dasyurus_albopunctatus,7455,603.48,6.19,268.92,19.29,1.063301138,1,97.65,354.0159524,0.502182889,36,119.5663588,4.521004777,351.6278776
Dasyurus_geoffroii,75400,1106.62,5.47,348.9,17.66,1,1,154.12,417.36,0.01,60,2.3,9.014534507,365
Dasyurus_hallucatus,467789,470.92,6.39,214.16,25.78876552,1,1,141.89,374.16,0.420458869,34.8,16.24,4.142475141,365
Dasyurus_maculatus,604301,3284.15,4.47,427.29,21,1,1,134.99,374.39,1.46198264,60,3.49,10.42801708,365
Dasyurus_spartacus,719,885.67,6.78,356.27,19.12,1.01077759,1.01395948,97.65,368.4540002,0.304643345,52.09868736,46.03589152,6.484537034,348.5874916
Dasyurus_viverrinus,65122,1101.49,4.7,333.38,20.5,1,1,156.6,372.1,0.01,81.6,19,7.626932877,365
Daubentonia_madagascariensis,6368,2731.37,1.01,400,166.48,0.42,1,197.7,834.72,121.79,291.6,39.79,45.08326338,760.41
Delanymys_brooksi,38111,4.99,3.19,66.70647436,38.40245042,1.70623381,1.203421849,37.77666371,222.0191736,0.792678433,24,872.48,0.188829408,162.8811362
