TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
40503,Didelphimorphia,Didelphidae,Lutreolina,Lutreolina_crassicaudata,554.77,843.3734222,PanTHERIA,1076.75,PanTHERIA;AnAge;_Carn_ung,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
12427,Carnivora,Mustelidae,Lutrogale,Lutrogale_perspicillata,8912.49,3650,PanTHERIA,5475,PanTHERIA;Carn_Ung,4563,912,calculated,2235.27,,GMA
12436,Carnivora,Canidae,Lycaon,Lycaon_pictus,21999.99,2034.717,PanTHERIA,4745,PanTHERIA;AnAge;_Carn_ung,3817.3,927.7,PanTHERIA,2034.717,,Rspan-AFB
41647,Carnivora,Mustelidae,Lyncodon,Lyncodon_patagonicus,225,1745.31,PanTHERIA,5110,Carn_ung,4739,371,calculated,1745.31,,Rspan-ASMmales
12518,Carnivora,Felidae,Lynx,Lynx_canadensis,9682.82,3391.958167,PanTHERIA,9769.833333,PanTHERIA;AnAge;_Carn_ung,9159.683333,735.65,calculated,3391.958167,,Rspan-AFR(SM+Gest)
12519,Carnivora,Felidae,Lynx,Lynx_lynx,19300,3338.239417,PanTHERIA,9404.833333,PanTHERIA;AnAge;_Carn_ung,8731.808333,806.015,calculated,3338.239417,,Rspan-AFR(SM+Gest)
12520,Carnivora,Felidae,Lynx,Lynx_pardinus,11050,1578.34,PanTHERIA,4380,Carn_ung,3946,434,calculated,1578.34,,Rspan-ASMmales
12521,Carnivora,Felidae,Lynx,Lynx_rufus,6374.47,3810.032222,PanTHERIA,11797.61111,PanTHERIA;AnAge;_Carn_ung,11250.11111,547.5,PanTHERIA,3810.032222,,Rspan-AFB
12548,Primates,Cercopithecidae,Macaca,Macaca_arctoides,9358.04,3650,PanTHERIA,10804,PanTHERIA;AnAge,9252.75,1551.25,PanTHERIA,4234.5475,,GMA
12549,Primates,Cercopithecidae,Macaca,Macaca_assamensis,8546.89,4572.989586,PanTHERIA,11461,AnAge,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
12550,Primates,Cercopithecidae,Macaca,Macaca_cyclopis,5748.94,4572.989586,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
12551,Primates,Cercopithecidae,Macaca,Macaca_fascicularis,4569.32,5076.8362,PanTHERIA,14052.5,PanTHERIA;AnAge,12641.78,1410.72,PanTHERIA,5076.8362,,Rspan-AFB
12552,Primates,Cercopithecidae,Macaca,Macaca_fuscata,10114.76,5118.76,PanTHERIA,13048.75,PanTHERIA;AnAge,11169,1879.75,PanTHERIA,5118.76,,Rspan-AFB
12570,Primates,Cercopithecidae,Macaca,Macaca_hecki,11200,4745,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
39792,Primates,Cercopithecidae,Macaca,Macaca_leonina,7783,4015,Smith_et_al._2003,no_information,no_information,no_information,no_information,no_information,no_information,,GMA
12553,Primates,Cercopithecidae,Macaca,Macaca_maura,7290.3,4015,PanTHERIA,12045,AnAge,10220,1825,PanTHERIA,4788.8,,GMA
12554,Primates,Cercopithecidae,Macaca,Macaca_mulatta,6455.19,5058.9,PanTHERIA,13870,PanTHERIA;AnAge,12410,1460,PanTHERIA,5058.9,,Rspan-AFB
