"","x"
"210","Callospermophilus_lateralis"
"211","Callospermophilus_madrensis"
"212","Callospermophilus_saturatus"
"213","Calomys_callosus"
"214","Calomys_expulsus"
"215","Calomys_laucha"
"216","Calomys_lepidus"
"217","Calomys_musculinus"
"218","Calomys_sorellus"
"219","Calomys_tener"
"220","Calomys_tocantinsi"
"221","Calomyscus_bailwardi"
"222","Calomyscus_baluchi"
"223","Calomyscus_elburzensis"
"224","Calomyscus_grandis"
"225","Calomyscus_hotsoni"
"226","Caluromys_derbianus"
"227","Caluromys_lanatus"
"228","Caluromys_philander"
"229","Caluromysiops_irrupta"
"230","Cannomys_badius"
"231","Cansumys_canus"
"232","Cardiocranius_paradoxus"
"233","Carpitalpa_arendsi"
"234","Carpomys_melanurus"
"235","Carpomys_phaeurus"
"236","Caryomys_eva"
"237","Caryomys_inez"
"238","Cavia_aperea"
"239","Cavia_fulgida"
"240","Cavia_patzelti"
"241","Cavia_tschudii"
"242","Cercartetus_caudatus"
"243","Cercartetus_concinnus"
"244","Cercartetus_nanus"
"245","Cerradomys_maracajuensis"
"246","Cerradomys_scotti"
"247","Cerradomys_subflavus"
"248","Chacodelphys_formosa"
"249","Chaetocauda_sichuanensis"
"250","Chaetodipus_arenarius"
"251","Chaetodipus_artus"
"252","Chaetodipus_californicus"
"253","Chaetodipus_eremicus"
"254","Chaetodipus_fallax"
"255","Chaetodipus_formosus"
"256","Chaetodipus_hispidus"
"257","Chaetodipus_intermedius"
"258","Chaetodipus_nelsoni"
"259","Chaetodipus_penicillatus"
"260","Chaetodipus_pernix"
"261","Chaetodipus_rudinoris"
"262","Chaetomys_subspinosus"
"263","Chelemys_macronyx"
"264","Chelemys_megalonyx"
"265","Chibchanomys_orcesi"
"266","Chibchanomys_trichotis"
"267","Chimarrogale_hantu"
"268","Chimarrogale_himalayica"
"269","Chimarrogale_styani"
"270","Chinchilla_chinchilla"
"271","Chinchilla_lanigera"
"272","Chionomys_gud"
"273","Chionomys_nivalis"
"274","Chiromyscus_chiropus"
"275","Chironectes_minimus"
"276","Chiropodomys_calamianensis"
"277","Chiropodomys_gliroides"
"278","Chiropodomys_karlkoopmani"
"279","Chiropodomys_muroides"
"280","Chiropodomys_pusillus"
"281","Chiruromys_forbesi"
"282","Chiruromys_lamia"
"283","Chiruromys_vates"
"284","Chlorotalpa_duthieae"
"285","Chodsigoa_caovansunga"
"286","Chodsigoa_hypsibia"
"287","Chodsigoa_lamula"
"288","Chodsigoa_parca"
"289","Chodsigoa_smithii"
"290","Chodsigoa_sodalis"
"291","Chrotomys_mindorensis"
"292","Chrotomys_silaceus"
"293","Chrotomys_whiteheadi"
"294","Chrysochloris_asiatica"
"295","Chrysochloris_stuhlmanni"
"296","Chrysospalax_villosus"
"297","Clyomys_laticeps"
"298","Coccymys_ruemmleri"
"299","Coendou_bicolor"
"300","Coendou_melanurus"
"301","Coendou_mexicanus"
"302","Coendou_nycthemera"
"303","Coendou_prehensilis"
"304","Coendou_pruinosus"
"305","Coendou_quichua"
"306","Coendou_rufescens"
"307","Coendou_spinosus"
"308","Colomys_goslingi"
"309","Condylura_cristata"
"310","Congosorex_verheyeni"
"311","Conilurus_penicillatus"
"312","Crateromys_schadenbergi"
"313","Cratogeomys_castanops"
"314","Cratogeomys_fulvescens"
"315","Cratogeomys_fumosus"
"316","Cratogeomys_goldmani"
"317","Cremnomys_cutchicus"
"318","Cricetomys_emini"
"319","Cricetomys_gambianus"
"320","Cricetulus_alticola"
"321","Cricetulus_barabensis"
"322","Cricetulus_longicaudatus"
"323","Cricetulus_migratorius"
"324","Cricetulus_sokolovi"
"325","Cricetulus_tibetanus"
"326","Cricetus_cricetus"
"327","Crocidura_aleksandrisi"
"328","Crocidura_allex"
"329","Crocidura_ansellorum"
"330","Crocidura_attenuata"
"331","Crocidura_attila"
"332","Crocidura_baluensis"
"333","Crocidura_batesi"
"334","Crocidura_beatus"
"335","Crocidura_beccarii"
"336","Crocidura_bottegi"
"337","Crocidura_bottegoides"
"338","Crocidura_brunnea"
"339","Crocidura_buettikoferi"
"340","Crocidura_caspica"
"341","Crocidura_cinderella"
"342","Crocidura_crenata"
"343","Crocidura_crossei"
"344","Crocidura_cyanea"
"345","Crocidura_denti"
"346","Crocidura_desperata"
"347","Crocidura_dolichura"
"348","Crocidura_douceti"
"349","Crocidura_dsinezumi"
"350","Crocidura_eisentrauti"
"351","Crocidura_elgonius"
"352","Crocidura_elongata"
"353","Crocidura_erica"
"354","Crocidura_fischeri"
"355","Crocidura_foetida"
"356","Crocidura_foxi"
"357","Crocidura_fuliginosa"
"358","Crocidura_fulvastra"
"359","Crocidura_fumosa"
"360","Crocidura_fuscomurina"
"361","Crocidura_gmelini"
"362","Crocidura_goliath"
"363","Crocidura_gracilipes"
"364","Crocidura_grandiceps"
"365","Crocidura_grassei"
"366","Crocidura_greenwoodi"
"367","Crocidura_hildegardeae"
"368","Crocidura_hilliana"
"369","Crocidura_hirta"
"370","Crocidura_indochinensis"
"371","Crocidura_jacksoni"
"372","Crocidura_jouvenetae"
"373","Crocidura_kivuana"
"374","Crocidura_lamottei"
"375","Crocidura_lanosa"
"376","Crocidura_lasiura"
"377","Crocidura_latona"
"378","Crocidura_lepidura"
"379","Crocidura_leucodon"
"380","Crocidura_levicula"
"381","Crocidura_littoralis"
"382","Crocidura_ludia"
"383","Crocidura_luna"
"384","Crocidura_lusitania"
"385","Crocidura_macarthuri"
"386","Crocidura_macmillani"
"387","Crocidura_malayana"
"388","Crocidura_mariquensis"
"389","Crocidura_maurisca"
"390","Crocidura_monax"
"391","Crocidura_monticola"
"392","Crocidura_montis"
"393","Crocidura_muricauda"
"394","Crocidura_mutesae"
"395","Crocidura_nanilla"
"396","Crocidura_negligens"
"397","Crocidura_nigeriae"
"398","Crocidura_nigripes"
"399","Crocidura_nigrofusca"
"400","Crocidura_obscurior"
"401","Crocidura_olivieri"
"402","Crocidura_pachyura"
"403","Crocidura_parvipes"
"404","Crocidura_pasha"
"405","Crocidura_phanluongi"
"406","Crocidura_picea"
"407","Crocidura_planiceps"
"408","Crocidura_poensis"
"409","Crocidura_pullata"
"410","Crocidura_ramona"
"411","Crocidura_rapax"
"412","Crocidura_roosevelti"
"413","Crocidura_russula"
"414","Crocidura_shantungensis"
"415","Crocidura_sibirica"
"416","Crocidura_sicula"
"417","Crocidura_silacea"
"418","Crocidura_somalica"
"419","Crocidura_suaveolens"
"420","Crocidura_susiana"
"421","Crocidura_tanakae"
"422","Crocidura_tansaniana"
"423","Crocidura_tarfayensis"
"424","Crocidura_telfordi"
"425","Crocidura_tenuis"
"426","Crocidura_thalia"
"427","Crocidura_thomensis"
"428","Crocidura_turba"
"429","Crocidura_usambarae"
"430","Crocidura_viaria"
"431","Crocidura_voi"
"432","Crocidura_vorax"
"433","Crocidura_watasei"
"434","Crocidura_whitakeri"
"435","Crocidura_xantippe"
"436","Crocidura_yankariensis"
"437","Crocidura_zaphiri"
"438","Crocidura_zarudnyi"
"439","Crocidura_zimmermanni"
"440","Crossomys_moncktoni"
"441","Crunomys_celebensis"
"442","Crunomys_fallax"
"443","Cryptomys_hottentotus"
"444","Cryptonanus_agricolai"
"445","Cryptonanus_chacoensis"
"446","Cryptonanus_guahybae"
"447","Cryptonanus_unduaviensis"
"448","Cryptotis_alticola"
"449","Cryptotis_brachyonyx"
"450","Cryptotis_colombiana"
"451","Cryptotis_endersi"
"452","Cryptotis_equatoris"
"453","Cryptotis_goldmani"
"454","Cryptotis_goodwini"
"455","Cryptotis_gracilis"
"456","Cryptotis_griseoventris"
"457","Cryptotis_magna"
"458","Cryptotis_mayensis"
"459","Cryptotis_medellinia"
"460","Cryptotis_mera"
"461","Cryptotis_meridensis"
"462","Cryptotis_merriami"
"463","Cryptotis_mexicana"
"464","Cryptotis_montivaga"
"465","Cryptotis_nigrescens"
"466","Cryptotis_orophila"
"467","Cryptotis_parva"
"468","Cryptotis_peruviensis"
"469","Cryptotis_phillipsii"
"470","Cryptotis_squamipes"
"471","Cryptotis_tamensis"
"472","Cryptotis_thomasi"
"473","Cryptotis_tropicalis"
"474","Ctenodactylus_gundi"
"475","Ctenodactylus_vali"
"476","Ctenomys_argentinus"
"477","Ctenomys_australis"
"478","Ctenomys_azarae"
"479","Ctenomys_bergi"
"480","Ctenomys_boliviensis"
"481","Ctenomys_bonettoi"
"482","Ctenomys_brasiliensis"
"483","Ctenomys_budini"
"484","Ctenomys_coludo"
"485","Ctenomys_conoveri"
"486","Ctenomys_dorbignyi"
"487","Ctenomys_dorsalis"
"488","Ctenomys_emilianus"
"489","Ctenomys_flamarioni"
"490","Ctenomys_fodax"
"491","Ctenomys_frater"
"492","Ctenomys_fulvus"
"493","Ctenomys_goodfellowi"
"494","Ctenomys_haigi"
"495","Ctenomys_knighti"
"496","Ctenomys_lami"
"497","Ctenomys_latro"
"498","Ctenomys_leucodon"
"499","Ctenomys_lewisi"
"500","Ctenomys_magellanicus"
"501","Ctenomys_maulinus"
"502","Ctenomys_mendocinus"
"503","Ctenomys_minutus"
"504","Ctenomys_opimus"
"505","Ctenomys_pearsoni"
"506","Ctenomys_perrensi"
"507","Ctenomys_peruanus"
"508","Ctenomys_pontifex"
"509","Ctenomys_porteousi"
"510","Ctenomys_pundti"
"511","Ctenomys_rionegrensis"
"512","Ctenomys_saltarius"
"513","Ctenomys_sociabilis"
"514","Ctenomys_steinbachi"
"515","Ctenomys_sylvanus"
"516","Ctenomys_talarum"
"517","Ctenomys_torquatus"
"518","Ctenomys_tucumanus"
"519","Ctenomys_validus"
"520","Cynomys_gunnisoni"
"521","Cynomys_leucurus"
"522","Cynomys_ludovicianus"
"523","Cynomys_mexicanus"
"524","Cynomys_parvidens"
"525","Dactylomys_boliviensis"
"526","Dactylomys_dactylinus"
"527","Dactylopsila_trivirgata"
"528","Dasycercus_blythi"
"529","Dasycercus_cristicauda"
"530","Dasykaluta_rosamondae"
"531","Dasymys_foxi"
"532","Dasymys_incomtus"
"533","Dasymys_rufulus"
"534","Dasyprocta_azarae"
"535","Dasyprocta_croconota"
"536","Dasyprocta_fuliginosa"
"537","Dasyprocta_guamara"
"538","Dasyprocta_kalinowskii"
"539","Dasyprocta_leporina"
"540","Dasyprocta_prymnolopha"
"541","Dasyprocta_punctata"
"542","Dasyprocta_variegata"
"543","Dasyuroides_byrnei"
"544","Dasyurus_albopunctatus"
"545","Dasyurus_hallucatus"
